id,title,author_info,rating,pros,cons,Categories
742,Not bad,"May 9, 2022 - Virtual Technical Support Associate in Pune",3,Role was WFH. Good training and support.,Random change of shift timings,Technology
743,Best Work life balance,"Apr 24, 2022 - Transaction Risk Investigator in Hyderābād",5,Amazing work atmosphere Friendly peers Healthy growth competition Performance based promotion,weird weekoffs and login time periods,Technology
744,Good wok cultue,"Apr 24, 2022 - Customer Service Representative in Pune",5,shift allowance opportunity work load r&r best in market,did not find any except work hours,Technology
745,Great company to work,"Apr 24, 2022 - Seller Support Associate in Hyderābād",5,Awesome work culture. Great learning,You may get some worst managers.,Technology
746,Best place to work for Sales,"Apr 24, 2022 - Client Relationship Manager in Chennai",5,# Good benefits #always on toes #great learning #highly motivated people around #employee friendly,# fast paced - but kind of ok #some times bit hectic,Culture
747,CSR,"Apr 24, 2022 - Customer Service Representative in Noida",5,#NAME?,#NAME?,Culture
748,Good job,"May 8, 2022 - Associate in Pune",4,Good job. great work culture and leave policies,Not much career progression and Salary increment,Culture
749,Amazon work culture,"May 8, 2022 - Applications Engineer in Chennai",4,I had an amazing experience in Amazon.,I worked for a year so I had no issues.,Culture
750,Good,"May 8, 2022 - SPS Mentor in Bangalore",4,Awesome company to work for,Dramatic managers hired from bpo,Technology
751,Great place to work,"May 8, 2022 - Catalog Specialist in Bangalore",4,"Great environment, Work life balance, Management is good, Supportive team members.","Not much of learning, Growth is very slow.",Management
752,Nothing,"May 8, 2022 - Business Manager in Gurgaon, Haryana",4,It was a decent company to work for,Performance completely based on metrics/goals,Culture
753,good,"May 9, 2022 - Digital Content Associate in Chennai",2,good to work and culture is good.,Politics is much and have to put soap to higher officials.,Culture
754,Good,"May 9, 2022 - Lead Associate in Chennai",2,Good concern to work from home,To much work pressure there,Management
755,good place to work with,"May 8, 2022 - Customer Service Associate in Pune",3,"flexible shifts ,exciting salaries ,friendly environment",performance and night shifts can be a concern. Also the workload is comparatively higher,Technology
756,Fr,"Apr 22, 2022 - Senior Catalog Associate in Bangalore",5,"Ambiance, and work life balance is good",Less salary and benefits. No big expectations,Technology
757,Great job,"Apr 23, 2022 - Software Development Engineer (SDE) in Gurgaon, Haryana",5,Good salary and good work environment.,Sometimes it can be quite hectic.,Technology
758,Good place to grow if you are willing to work,"Apr 23, 2022 - SDS Associate in Calcutta",5,1) Growth 2) Engaging 3) Benefits 4) Work Time Adherence,1) Work Pressure 2) Might feel monotonous at times 3) WBL,Technology
759,Very Good,"Apr 23, 2022 - Applications Engineer in Chennai",5,"Best work experience , Good career path",Could have have more benefits,Technology
760,Great to learn,"May 7, 2022 - Operations Executive in Bangalore",4,Good learning on Program management Data analysis Solution model risk mitigation,Work load comparatively high AWS Tools are still manual effort required,Technology
761,very good,"May 7, 2022 - D2AS ASSOCIATE in Hyderābād",4,good experience very good work environment,none that I can think of,Management
762,04-May,"May 7, 2022 - Business Operations Specialist in Hyderābād",4,Great work culture with good wages.,Difficult to maintain work-life balance.,Culture
763,good,"May 7, 2022 - Sps Associate in Bangalore",4,"Good Place to work, fun environment",Targets are there but not impossible,Management
764,Goood,"May 7, 2022 - Anonymous Employee in Hyderābād",4,"very positive, friendly, caring environment",No con's to mention according to my y experience,Culture
765,Great company is built by great people Like us,"Apr 16, 2022 - Seller Support Associate in Bangalore",5,1) highly motivated people work in a designated motivation to achieve the best output. 2)salary paid before time 3)less stressful 4)good people to work with. 5)less opportunity in my role. 6)highly motivated supervisors and team mate. 7)team building 8)practical thinking. 9)all good. 10)all good,No such cons identified so far,Culture
766,Great company and fabulous work environment.,"Apr 21, 2022 - AWS Solutions Architect in Calcutta",5,You get to manage your own task assignments. No micromanagement A learning haven for ambitious learners Great work life balance. Get to manage separate family time. Fabulous and smart colleagues to work with.,No big cons as of now yet.,Culture
767,idkk,"Apr 21, 2022 - Data Scientist in Mumbai",5,"Good salary, Good co workers",Not so good work environment,Management
768,Gud company,"Apr 22, 2022 - VBI-RC Associate in New Delhi",5,Supportable managers very good working atmosphere,No cons till now for the company everyone here is amazing,Technology
769,Great work culture,"Apr 22, 2022 - Transaction Risk Investigator in Hyderābād",5,Diversity Great leadership Colleagues are helpful,More transparency needed in terms of performance evaluation.,Management
770,Good,"Apr 22, 2022 - Subject Matter Expert in Bangalore",5,Good place for freshers. Had a lot of learning.,Slow growth. management politics. Amateur management.,Management
771,Good Work culture,"May 6, 2022 - Anonymous Employee in Chennai",4,Flexible Supportive Good work life balance More perks More appreciation,Low Growth More Compitition More Pressure Big Management More procedures,Management
772,Great Experience,"May 6, 2022 - Customer Service Associate in Noida",4,"Great Atmosphere, Good Learning, Work-Life Balance,","Average Payout, Monotonous, Very Versatile",Culture
773,Good for freshers,"May 6, 2022 - Associate, Quality Services in Chennai",4,1.Amazing culture 2.Opportunities for growth. 3.Lot of Benefits.,1.Less CTC compared to other companies 2. Promotions won't be given for atleast 2 years.,Culture
774,Great place,"May 6, 2022 - Anonymous Employee in Hyderābād",4,Career Growth Highest industry comp,Work life balance No free food,Culture
775,good,"May 6, 2022 - Software Engineer in Hyderābād",4,"work-life balance, productive work, good environment","less mentorship, not lesson to new employees decisons",Technology
776,Good work culture,"May 6, 2022 - Senior Catalog Associate in Chennai",4,In Amazon you will always get a opportunity to learn new things even at non tech role you will get opportunity to improve your technical skills,"Sometimes we feel pressure due to business needs, but most of the time its always fun to be with amazon",Technology
777,Good 👍company,"May 7, 2022 - Costomer Service Representative in Hyderābād",2,Amzon is the biggest company to utilse my skillss to improve my career path,My aim to get a good job where I can improve my knowledge,Management
778,Good Work Culture,"May 6, 2022 - Software Development Engineer (SDE) in Bangalore",3,"Faster Growth , Better Pay, Great Work Culture","Competative Work Culture, Work Timings",Culture
779,good place to work,"May 6, 2022 - in Bangalore",3,"salary on time, extra pay, office environment","favouritism, lack of growth opportunities. office politics.",Technology
780,Too much politics,"May 6, 2022 - Data Analyst in Hyderābād",3,1. Work life Balance 2. Leaves 3. Maternity Benefits 4. Learning about business,1. Politics 2. Appraisal feedback is based on others opinions instead of your deliverables 3. No Recognition for work. 4. No Support 5. Half of your package is in the form of RSU/Stocks which is not good at all.,Technology
781,Executive Customer Representative,"Apr 21, 2022 - Executive Customer Representative in Indore",5,"work life balance, salary, meal cards,",none I have found till now,Technology
782,Best place to work !,"Apr 21, 2022 - T4 Associate in Mumbai",5,1) They guide you through every step. Right from On-boarding to training to production. 2) World Class Training facility. 3) Managers and Leaders are very welcoming and supportive.,NOTHING AS OF NOW !,Technology
783,Always Day1 @Amazon,"Apr 21, 2022 - Software Development Engineer In Test (SDET) II in Bangalore",5,1. Career focussed and you get to work with a lot of Awesome Teams 2. Excellent Office Infrastructure 3. Process Management is the best I have worked with. 4. You get to learn a lot from an awesome batch of people including both technical and managerial skills 5. Pay structure is highly beneficial,"1. Apart from pay, there are not a lot of other benefits like parental insurance. 2. Working hours is long especially if you are doing it from home 3. Huge system and hence learning curve will be somewhat high when compared with others.",Technology
784,Amazon,"Apr 21, 2022 - in Noida",5,Work life balance Great leadership,Pay scale is not great,Management
785,Awsome,"Apr 21, 2022 - Channel Team Lead in New Delhi",5,"Great organization , better opportunities for growth",No such cons are observed,Technology
786,Good,"Apr 21, 2022 - Business Analyst in Bangalore",5,Good company to work for,No cons such in the company,Culture
787,Good company,"Apr 21, 2022 - Customer Service Associate in Pune",5,"You'll get to work with great managers, easy leave policies.",Upper management never accepts their mistakes,Management
788,Good,"Apr 21, 2022 - Software Development Engineer (SDE) in Hyderābād",5,Nice money and reputation with pride,"Work load is heavy ,yes",Management
789,Work culture and salary,"Apr 21, 2022 - Software Development Engineer (SDE) in Bangalore",5,1. One of the best work life balance if you have good team and manager. 2. Latest CTC is best as compare to other MNCs.,Sometimes you have to attend meetings at 12am.but it's totally belongs to your team.,Technology
790,good,"Apr 21, 2022 - Customer Service Associate in Pune",5,"all good at amazon,its heaven",nothing while working with amazon,Management
791,Interview & Onboarding,"May 4, 2022 - Senior FinOps Analyst in Pune",4,"1. Once I got the interview call, the process happened very quick & smooth. Recruiting manager was very helpful. 2. Interview questions were practical and applicable to the job profile only. The interviewer had asked to act out the role of an Amazon employee in discussion with the vendor since my hiring was to the Disputes team. Also another question they asked was ""how have you made a positive impact at your previous/current job?"" 3. Onboarding process at Amazon is very easy and they make you feel very comfortable, relaxed. Every detail is shared on email and manager had been very kind to explain various aspects in detail. 4. Salary was negotiated since I had another job offer in hand.",I wish process training was more in-depth but that also could have been due to the online training & onboarding constraints. Manager was very busy and onboarding buddy for me was also not available so had to reply on the little time that manager could genuinely spare.,Technology
792,GOOD WORK PLACE,"May 5, 2022 - Investigator in Hyderābād",4,"good work culture, well trained Team leaders",Starting you may face difficulty but team members will help you.,Culture
793,Good,"May 5, 2022 - Investigations Specialist in Bangalore",4,It is okay company pay is less,Pay is very lesss to be honest,Technology
794,Most suitable for the people in their early and mid twenties,"May 5, 2022 - Transaction Risk Investigator in Bangalore",4,"Leaves are the benefits thing in Amazon. For a person working in operations department, there are 12 Sick leaves, 12 Casual leaves and 15 Annual leaves along with 5 Optional offs and Mandatory Offs each. Hence in total we get around 50 days leaves in a year, but it's just that you have to plan it accordingly so that your leaves won't affect the team shrinkage or company's performance. Also we get an yearly Bonus along with the performance hike.",Though the hike for operations department is considerably low with respect to Tech teams. Process is kind of repetitive and growth is low,Technology
795,It is good for freshers,"May 5, 2022 - Customer Service Associate in Pune",4,Good manager and environment in Amazon,Very frustrating customer reviews are there,Technology
796,Monotonous,"May 5, 2022 - Quality Associate in Hyderābād",4,Not much work and good team,Repetitive in nature and no scope for improvement,Technology
797,Okay if your a PM,"May 6, 2022 - User Experience Designer in Bangalore",2,Large scale of impact. designing for 100M active users in india,Too PM focused. fit and finish takes a back seat. Not a design driven company,Technology
798,Dissatisfaction at work,"May 6, 2022 - Business Operations Specialist in Hyderābād",2,Flexibility to work No long hours,No opportunity visible for the position growth Unrealistic Deadlines to meet,Technology
799,great place to work,"May 5, 2022 - Controllership Specialist in Hyderābād",3,great place to work at,very slow career growth in the company,Culture
800,good,"Apr 20, 2022 - Seller Support Associate in Chennai",5,great job for a fresher.,none. you will still learn a lot.,Technology
801,Very good,"Apr 20, 2022 - Sps Associate in Bangalore",5,Lot to learn and very good,Nothing as such . . .,Management
802,Nice place to work,"Apr 20, 2022 - Anonymous Employee in Chennai",5,"Work life balance , Nice salary",Boring repeating work and repeating,Technology
803,Great place to work,"Apr 20, 2022 - Program Manager in Bangalore",5,Dynamic work environment Growth opportunities Flexible work,Performance review process that happens on a yearly basis,Management
804,A great job profile,"Apr 20, 2022 - Associate Site Merchandiser in Bangalore",5,Really loved the work and the learning in the role was tremendous.,Could a little stressful atleast during the events,Technology
805,na,"Apr 20, 2022 - Associate in Bangalore",5,work life balance is amazing,some time feel boring doing same task everyday,Technology
806,Good,"Apr 20, 2022 - Catlog Associate in Indi, Karnataka",5,Good work culture and friendly coleagues,No big cons as such with the company,Culture
807,Good culture,"Apr 20, 2022 - Transaction Risk Investigator in Bangalore",5,"a great workplace, better benefits for employees.","Do not be afraid of anyone, there will be a lot of micromanagement, if you are scared of escalating your issues this is not the place for you",Culture
808,You need to experience the Amazon Culture,"Apr 20, 2022 - Device Associate I in Bangalore",5,"It has been a few months since I joined Amazon and I really enjoy working here . From our manager to colleagues - everyone is extremely supportive , kind and very empathetic . I really enjoy the drive here and how clear our goals are and how the team efforts are seen .","As we are working from home right now , there is a bit of communication gap which is not an issue as office is opening soon.",Technology
809,Company review,"May 3, 2022 - Senior Compliance Associate in Bangalore",4,Work environment is great. Vast opportunities,No con as of now,Culture
810,It's a good place to work,"May 4, 2022 - Transportation Specialist in Hyderābād",4,It's an employee friendly company,It a a nice place to work but too much stress as per the pay,Culture
811,Amazing company to start your career,"May 4, 2022 - Ad Ops Services Associate in Bangalore",4,"Infrastructure is great, good visibility if top performer and based on your skillset","None, if you are fresher",Culture
812,Good work life balance,"May 4, 2022 - Catalog Associate in Chennai",4,Work Life Balance Benefits Good office space Good work culture,Pay is low. Management is not great.,Management
813,Not good,"May 5, 2022 - Manager in Bangalore",2,No pros to mention. Not having a good time,Very high workload all the time.,Technology
814,Customer Service Representative,"May 4, 2022 - Customer Service Representative in Coimbatore",3,a good place to work and settle,very nice to work here,Culture
815,Tough Place,"May 4, 2022 - Program Manager II in Hyderābād",3,Salary is decent for India,Working Timelines are super abrasive,Technology
816,Worked kn various types of leave requested by employees and processing their payments and benefits,"Apr 19, 2022 - ERC - DLS Associate in Hyderābād",5,Amazing work culture Career opportunities Salary increment Perks and benefits,No cons as of now,Human_Resources
817,employment status,"Apr 19, 2022 - Advisor in Hyderābād",5,It such fun place to work at with so many opportunities,growth sometimes becomes slow here.,Technology
818,Pathetic work culture,"May 25, 2022 - Software Development Engineer in Hyderābād",1,"Pay is good, benefits are decent",Work life balance is pathetic,Culture
819,Excellent place to work,"Apr 30, 2022 - Virtual Customer Service in Calcutta",4,1. Timely salary by the end of the month. 2. No targets 3. Good behaviour from Managers 4. Helpful and great work culture. 5. Meal pass,1. Salary structure could be better 2. Lesser growth opportunities. 3. Hectic 4. Mismanaged rewarding system 5.,Technology
820,PRESSURE!!,"May 4, 2022 - VBI-RC Associate in Noida",2,"Only a few like meal card, internet allowance, overtime allowance.","Too much hectic! One have to dedicate full shift hours at screen without moving a bit. You have to meet such stringent targets all the time else they won't live you peacefully a single day! You have to work like a robot exactly to meet the targets. Such a worst job! You can only move 20 minutes in 9 hrs shift to stretch or have some food, rest hours you have to nonstop do the robot like work by taking huge load on your brain. SALARY IS BELOW PAR as per the expertise the job demands. Don't join else you will have nightmare each day.",Technology
821,Awesome place to work,"Apr 15, 2022 - in Pune",5,Streamlined work culture and work life balance helps me stay with Amazon,There are not many I can say,Culture
822,Tron associate,"Apr 8, 2022 - Tron Associate in Bangalore",5,"One of the best work culture,lots of benifits including TA , Food allowance,",The process is so hectic. Around 50% who joined this position with me got off from the company . I have knowledge only about the tron process,Technology
823,AWSome Company !,"Apr 18, 2022 - Technical Account Manager in Pune",5,- Good package - Day 1 culture - Learning Curve - work life balance,#NAME?,Culture
824,Excellent,"Apr 18, 2022 - Transaction Risk Investigator in Bangalore",5,"work environment, training sessions, learning","manager responsiveness, week offs, breaks",Technology
825,Job Experience,"Apr 18, 2022 - Production Editor in Chennai",5,Wonderful place to learn and leap,Only getting promotion is much difficult.,Technology
826,Product Compliance,"Apr 18, 2022 - Senior Associate in Bangalore",5,Excellent work life Balance and Benifits,No Negatives for this company,Technology
827,Great at everything,"Apr 18, 2022 - Seller Support Associate in Hyderābād",5,1. No work pressure 2. Better salary than other companies 3. around 50 leaves per year and we can apply directly without requesting anyone for the most part 4. Growth oppurtunities 5. They've given choice to choose WFH for those who joined before March 2022,Nothing as per now in my experience,Technology
828,Pathetic work culture,"May 25, 2022 - Software Development Engineer in Hyderābād",1,"Pay is good, benefits are decent",Work life balance is pathetic,Culture
829,Excellent place to work,"Apr 30, 2022 - Virtual Customer Service in Calcutta",4,1. Timely salary by the end of the month. 2. No targets 3. Good behaviour from Managers 4. Helpful and great work culture. 5. Meal pass,1. Salary structure could be better 2. Lesser growth opportunities. 3. Hectic 4. Mismanaged rewarding system 5.,Technology
830,PRESSURE!!,"May 4, 2022 - VBI-RC Associate in Noida",2,"Only a few like meal card, internet allowance, overtime allowance.","Too much hectic! One have to dedicate full shift hours at screen without moving a bit. You have to meet such stringent targets all the time else they won't live you peacefully a single day! You have to work like a robot exactly to meet the targets. Such a worst job! You can only move 20 minutes in 9 hrs shift to stretch or have some food, rest hours you have to nonstop do the robot like work by taking huge load on your brain. SALARY IS BELOW PAR as per the expertise the job demands. Don't join else you will have nightmare each day.",Technology
831,Awesome place to work,"Apr 15, 2022 - in Pune",5,Streamlined work culture and work life balance helps me stay with Amazon,There are not many I can say,Culture
832,Tron associate,"Apr 8, 2022 - Tron Associate in Bangalore",5,"One of the best work culture,lots of benifits including TA , Food allowance,",The process is so hectic. Around 50% who joined this position with me got off from the company . I have knowledge only about the tron process,Technology
833,AWSome Company !,"Apr 18, 2022 - Technical Account Manager in Pune",5,- Good package - Day 1 culture - Learning Curve - work life balance,#NAME?,Culture
834,Excellent,"Apr 18, 2022 - Transaction Risk Investigator in Bangalore",5,"work environment, training sessions, learning","manager responsiveness, week offs, breaks",Technology
835,Job Experience,"Apr 18, 2022 - Production Editor in Chennai",5,Wonderful place to learn and leap,Only getting promotion is much difficult.,Technology
836,Product Compliance,"Apr 18, 2022 - Senior Associate in Bangalore",5,Excellent work life Balance and Benifits,No Negatives for this company,Technology
837,Great at everything,"Apr 18, 2022 - Seller Support Associate in Hyderābād",5,1. No work pressure 2. Better salary than other companies 3. around 50 leaves per year and we can apply directly without requesting anyone for the most part 4. Growth oppurtunities 5. They've given choice to choose WFH for those who joined before March 2022,Nothing as per now in my experience,Technology
838,Work Culture,"May 2, 2022 - Product Compliance Manager in Bangalore",4,"Flexible work structure. Focus on diversity, equality & Inclusion.",Focus on compensation is required.,Culture
839,Hectic but rewarding,"May 2, 2022 - Data Analyst in Bangalore",4,Best support from peers and management.,extra long working hours and sometimes have to work on weekends also.,Technology
840,Amazon Customer Service Executive International Voice (For NA Customers),"May 2, 2022 - in Hyderābād",4,"Develop your Interpersonal, Communication & Language Skills. Western Work Culture. Broad Minded & Extroverted People. Amazing Employee Benefits. Rotational Work Shift Timings with 2 day week-off.",Work might get boring & stressful over a period of time. No physical activity because it's a desk job requiring a lot of mental ability & skill set. Work & Personal Life balance might become a bit off if you don't plan your day properly.,Management
841,Site Lead - Last mile delivery station,"May 3, 2022 - Operations Manager in Indore",2,Employee benefits. Salary. Leaves. Incentive,Too much politics. Lack of leadership support. Weak HR. Long work hours. Too much pressure of work resulting in unnecessary stress .,Technology
842,Depends on the team you work for,"May 2, 2022 - Program Manager in Bangalore Rural",3,Learning for growth and skills,"pay, promotion and Hike is horrible for the amount of work a person does",Management
843,Low work life balance,"May 2, 2022 - Team Leader in Calcutta",3,Package 5 days work Benefits,Excessive pressure More dictatorship Bad appraisal,Technology
844,Good work culture,"May 2, 2022 - Process Associate in Bangalore",3,amazing work culture and great support from the team,stressful work and wish there was better work load management,Culture
845,RME Coordinator at Amazon India(ASSPL) with 2+ years of experience in Facility Management.,"May 2, 2022 - RME Coordinator in Calcutta",3,Career Development. Good Work environment. Good benefits and compensations,Average Work-Life Balance. 24*7 availability on week-off and PTO Promotion is dependent on reporting Manager's feedback,Technology
846,Great Work Culture,"Apr 17, 2022 - Sales Associate in Bangalore",5,"Managers are very helpful to guide whenever I stuck somewhere. Great facilities are provided in office premises like Gaming , Canteen , Kitchenette. Proper process is made for every actionable item. Very fast reimbursement process for in work expenses.",High Competition for Next level promotions.,Technology
847,Virtually customer support,"Apr 17, 2022 - VCS Customer Service Representative in Lucknow",5,Work life balance 2 week offs in some shift 3 week offs Cool managers,There are Limited IJPs in this role,Technology
848,happy to be a part of amazon,"Apr 17, 2022 - Associate, Quality Services in Chennai",5,amazing work culture good work life balance,no bad experiences so far,Culture
849,Salary not sufficient,"May 1, 2022 - Transaction Risk Investigator (TRMS) in Bangalore",4,work culture is amazing and bonus is good,boring repeative work and unsatisfying work,Culture
850,It's Still Day One,"May 1, 2022 - AHS Specialist in Hyderābād",4,"When you join a big company like amazon you will understand how the boss mind works to keep his business running, how the boss lends a ear to his critics and works on it, working on the drawbacks and making them strong again to stay on the top you have to make sacrifices for good or bad. In Simple words Survival of the fittest. Its Day One cause you learn each day about your role, company or about your workplace. Don't stop learning, Don't stop exploring, Don't stop inventing & Most Important Don't Stop Trying New things.","Cons depends on each and ever individual my Cons maybe Pros in some one area of expertise, and vice verse. But still to be frank there must be some one to guide during starting of new hire training about inside use of amazon not the process but how to navigate and use amazon A to Z facilities.",Technology
851,The Management staff in Amazon IN is terrible,"May 23, 2022 - D2AS - Customer Service in Pune",1,Honestly dont see any pros if you are placed in the IN Team,"Horrible support system from Manager's and GRPMs there is noone you can reach out to when needed, manager's take leaves whenever they feel like without arranging someone for backup if any queries come up, if you need help with anything neither GRPM is available and.reaching out to the HR is a entirely different task as you cant connect with them unless you go through their so called employee pyramid",Technology
852,Not worth it,"May 2, 2022 - Machine Learning Data Associate in Hyderābād",2,Transport facility Food coupons Fixed timings Sometimes no work at all,No growth Low hikes Micromanagement Mobiles not allowed,Technology
853,Good,"May 1, 2022 - Process Lead in Hyderābād",3,"Good work culture, diversity and nice allowances","Nothing much, but sometimes work feels hectic",Culture
854,Amazon Business analyst salaries,"Apr 29, 2022 - Business Analyst in Bangalore",4,#NAME?,#NAME?,Management
855,Nice Company to start your career,"Apr 30, 2022 - Software Development Engineer in Gurgaon, Haryana",4,"High Package, Bonuses, Work Life Balance, Work Environment, Colleagues",Sometimes high amount of work may come,Culture
856,Employee benefits,"Apr 30, 2022 - Senior Quality Analyst in Bangalore",4,15 Annual leaves that can be carried forward 12 Casual Leaves and 12 Sick Leaves Cab Allowance Food coupon Home internet reimbursement during WFH Annual gifts,Growth is not there or very slow,Culture
857,Amazon India,"Apr 30, 2022 - Sps Associate in Bangalore",4,Good place to work. Flexibility to work.,i don't find any con's till date.,Culture
858,Good,"Apr 13, 2022 - Software Engineer in Bangalore",5,Good environment and good learning,No cons as such for now,Management
859,Great Place To Work,"Apr 14, 2022 - Scheduler in Bangalore",5,Employee centered fair compensation work culture management open door policy,There is not much that a employee can complain about.,Culture
860,HIghlist of Work Life Balance,"Apr 14, 2022 - Process Lead in Chennai",5,I believe this is the best company I had ever worked which always keeps his employees first with the employee centricity.,Nothing to share in that way.,Culture
861,One of the Best place to work,"Apr 14, 2022 - Anonymous Employee in Bangalore",5,Great work life balance Salary is great,Nothing I have faced so far,Technology
862,Salary,"Apr 14, 2022 - Cloud Support Associate in Hyderābād",5,"Friendly Environment, No bias, Skill set is respected.",No cons during my work period.,Management
863,Seller Partner Support Associate,"Apr 27, 2022 - Amazon Seller Support Associate in Hyderābād",4,good leave policy and supportive team,requires more training and too much of over time work,Technology
864,Okok,"Apr 28, 2022 - SDS Associate in Hyderābād",4,"Benifits, culture, leave policy, insurance",Politics politics politics politics politics,Culture
865,Good Company but don't stuck to one team,"Apr 28, 2022 - Senior Business Analyst in Bangalore",4,it is a very good company but never stuck to one team otherwise your job will be at risk,few managers put senior people in PIP just to avoid question from HR why those people have not been promoted yet.,Technology
866,"Good work environment, less salary","Apr 28, 2022 - Process Associate in Bangalore",4,"Work culture, community, diversity, compensation, benefits and overall experience is amazing",Poor salary and career growth,Culture
867,Good Experience,"Apr 28, 2022 - SDE1 () in Bangalore",4,Got to learn a lot,Things happen really slow in terms of ownership,Technology
868,Good,"Apr 28, 2022 - Catalog Associate in Bangalore",4,Great work culture is what its known for,No proper hikes and promotions,Culture
869,"XRay Team - Worst Toxic Culture, Clueless Managers","May 19, 2022 - SDE-2 in Bangalore",1,Nothing I can think of right now.,"Clueless, having heard mentality managers. Toxic, egoistic colleagues, good people are leaving team. Toxic Culture, no work life balance. Managers only say they will listen, but they are clueless and having heard mentality leading to toxic work culture. Managers tell lame stories in name of feedback in 1:1 session.",Technology
870,Good experience,"Apr 9, 2022 - Virtual SDS Associate in Bangalore",5,Good work culture and peculiar environment,"As of now the only problem is, it's rotational shifts and week off's",Culture
871,Tron Associate,"Apr 13, 2022 - TRON Associate- L2 in Hyderābād",5,"Good team, Easy work, Good environment",No Cons as per my Experience,Culture
872,Manager,"Apr 13, 2022 - Manager Operations in Chennai",5,You will learn the product based company management and culture,Too much doc works involved for each and every work you do,Technology
873,Great place to work,"Apr 13, 2022 - Seller Support Associate in Hyderābād",5,Good trainers and supportive team.,As of now everything is going good,Culture
874,Great company and great work,"Apr 13, 2022 - Principal Software Engineer in Hyderābād",5,Amazon is great company to work,Lot of expectations and role responsibility is vague,Culture
875,High quality but high quantity work,"Apr 13, 2022 - Operations Manager in Bangalore",5,Gr8 work and extremely smart colleagues,High job stress and long work hours,Culture
876,Sr. Associate,"Apr 13, 2022 - Senior Associate in Bangalore",5,Good company to work with,Nothing bad about the company,Culture
877,amacon company is always respect employee,"Apr 13, 2022 - in Gurgaon, Haryana",5,Always respect worker on time pay roll,Many challenge but always accept challenge,Culture
878,Great Place to Work,"Apr 13, 2022 - Quality Lead in Chennai",5,Good Support from Team . So much of learning oppurtunities.,More Meetings. Evaluation of an employee is largely goal/result oriented .,Culture
879,Awesome,"Apr 13, 2022 - Associate in Bangalore",5,Awesome work culture more benefits,Everything is fine with Amazon,Culture
880,Good,"Apr 27, 2022 - Customer Service Representative in Hyderābād",4,"Best organization to work, more growth.",There are no cons that I've observed,Technology
881,good,"Apr 27, 2022 - Anonymous Employee in Bangalore",4,good environment good environment good culture,None none none none none,Culture
882,Haven't worked enough to submit a review,"Apr 27, 2022 - TRON Associate- L2 in Noida",4,Supportive team. Good work culture.,Very hectic job. No room for error.,Technology
883,Pathetic,"May 19, 2022 - VCS Customer Service Representative in New Delhi",1,Big Company High Exposure Work From Home PF ESI,Call flow is very high Training period is very less Company only wants positive feedback Fixed break times(Horrible) No one cares how u feel Very stressful Uncultured customers blame agent unnecessarily Every higher hierarchy tries to crush their immediate level Too strict Unrealistic targets which we can meet only by luck Salary is not just for the stress agent bears Growth is very slow Health issues,Culture
884,..,"Apr 26, 2022 - Senior Compliance Associate in Bangalore",3,"environment, policy, profile, salary, work life","target, wfh is difficult, online team huddle",Human_Resources
885,Bad,"Apr 27, 2022 - Resolution Specialist in Indore",3,Work from home is the only good thing,No growth No good increment. Management is not supportive.,Management
886,Good,"Apr 27, 2022 - CSA - Customer Service Associate in Pune",3,"Payment on time, it's a good thing to get paid on time.","Too much call frequency, should be less",Management
887,Great,"Apr 11, 2022 - Senior Associate in Chennai",5,fun to work with amazon.,no cons at all to work,Culture
888,Very good work culture,"Apr 11, 2022 - Quality Specialist in Hyderābād",5,Ample opportunities for growth and to switch roles,Growth can be slow in big teams.,Culture
889,Amazon is a great place to learn,"Apr 12, 2022 - Senior Program Manager in Bangalore",5,"Amazon works very differently than any of the previous organizations I have worked for. The 16 Amazon Leadership Principles get applied in every meeting, and every decision. This organization walks the talk.","The size of Amazon means for every step, there are multiple teams and stakeholders to work with. Sometimes, it can slow you down.",Management
890,Nothing,"Apr 12, 2022 - in Bangalore",5,"work culture, opportunities, work life balance",Frequent shuffling across different process,Culture
891,good,"Apr 12, 2022 - Machine Learning Data Associate I in Hyderābād",5,wonderful place to work easy yet interesting job,"I did not find any specific cons, I worked with wonderful team.",Technology
892,Great place to #learnandbecurious,"Apr 12, 2022 - Senior Solutions Architect in Mumbai",5,1) Great place to Learn and Hone your tech skills 2) Rewards learning and personal skill development 3) Broad Tech spectrum to work with 4) Great place for geeks 5) Great salary,1) Can be overwhelming 2) Has a peculiar culture that takes time to inculcate,Technology
893,Good for starting up,"Apr 25, 2022 - Project Manager in Bangalore",4,Scale of operations is unmatched,Sometimes clarity is not available for team on ground,Technology
894,Nice,"Apr 26, 2022 - L-3 Risk Investigator in Hyderābād",4,"Nice management, good place and people to work with","Hands on every process, working hours and salary",Management
895,Nice,"Apr 26, 2022 - Cloud Support Engineer in Hyderābād",4,Good Environment And Good Team,High Work pressure and This varies on job role,Culture
896,never join this specific team,"May 18, 2022 - ML Data Associate-1 in Hyderābād",1,no pros for working at this place,everything is a con in this team,Culture
897,Poor Work Life Balance,"Apr 27, 2022 - Program Manager III in New Delhi",2,Supportive local team Decent Office infrastructure,Poor work life balance Seattle driven company - any issues / decisions to be resolved from Seattle team only in their business hours Accountability of work lies with you however dependency lies with Seattle team which affects outcome Yearly reducing monthly take home with no tax benefit structure in place,Management
898,Apply for TRON only if you desperately searching for a Job.,"Apr 24, 2022 - Tron Associate in Bangalore",3,1. You get to work of one of the biggest companies in the world,1. 7+ long hour of sitting idle in front of laptop 2. No skills developed,Technology
